Thực hiện: 09h46 15-02-2023

==== ==== ==== ==== ==== ====
Đầu ra, Số chữ đầu ra, Đầu vào, Số chữ đầu vào, Tác nhân, Số giây của video, Kết quả 
VI_gg_0_300_02.txt , 128, VI_gg_0_300_02_mau.txt , 144, google, 45.00s, 91.17968%
VI_gg_0_500_01.txt , 269, VI_gg_0_500_01_mau.txt , 312, google, 102.77s, 96.08364%
VI_gg_0_500_02.txt , 128, VI_gg_0_500_02_mau.txt , 202, google, 63.83s, 79.00539%
VI_gg_0_50_01.txt , 33, VI_gg_0_50_01_mau.txt , 35, google, 10.77s, 95.87977%
VI_gg_0_50_02.txt , 37, VI_gg_0_50_02_mau.txt , 55, google, 18.57s, 84.18152%
VI_gg_1_1000_01.txt , 664, VI_gg_1_1000_01_mau.txt , 723, google, 180.70s, 97.51687%
VI_gg_1_1000_02.txt , 630, VI_gg_1_1000_02_mau.txt , 664, google, 190.10s, 97.42104%
VI_gg_1_100_01.txt , 72, VI_gg_1_100_01_mau.txt , 85, google, 24.87s, 84.97522%
VI_gg_1_100_02.txt , 26, VI_gg_1_100_02_mau.txt , 48, google, 13.70s, 66.97636%
VI_gg_1_300_01.txt , 60, VI_gg_1_300_01_mau.txt , 82, google, 26.13s, 79.86644%
VI_gg_1_300_02.txt , 113, VI_gg_1_300_02_mau.txt , 144, google, 39.87s, 84.56698%
VI_gg_1_500_01.txt , 242, VI_gg_1_500_01_mau.txt , 312, google, 84.83s, 93.58428%
VI_gg_1_500_02.txt , 198, VI_gg_1_500_02_mau.txt , 202, google, 58.27s, 96.02775%
VI_gg_1_50_01.txt , 35, VI_gg_1_50_01_mau.txt , 35, google, 10.57s, 100.0%
VI_gg_1_50_02.txt , 55, VI_gg_1_50_02_mau.txt , 55, google, 18.67s, 94.78257%

=> Tổng số có 71 file đã thực thi 
=> Thời gian thực thi: 0:00:01.497622
