Thực hiện: 08h55 16-02-2023

==== ==== ==== ==== ==== ====
Đầu ra, Số chữ đầu ra, Đầu vào, Số chữ đầu vào, Tác nhân, Số giây của video, Kết quả 
VI_gg_0_300_02.txt , 141, VI_gg_0_300_02_mau.txt , 144, google, 45.00s, 88.28459%
VI_gg_0_500_01.txt , 311, VI_gg_0_500_01_mau.txt , 312, google, 102.77s, 97.31683%
VI_gg_0_500_02.txt , 198, VI_gg_0_500_02_mau.txt , 202, google, 63.83s, 92.7593%
VI_gg_0_50_01.txt , 34, VI_gg_0_50_01_mau.txt , 35, google, 10.77s, 95.79098%
VI_gg_0_50_02.txt , 55, VI_gg_0_50_02_mau.txt , 55, google, 18.57s, 95.33163%
VI_gg_1_1000_01.txt , 671, VI_gg_1_1000_01_mau.txt , 723, google, 180.70s, 96.59625%
VI_gg_1_1000_02.txt , 650, VI_gg_1_1000_02_mau.txt , 664, google, 190.10s, 96.86617%
VI_gg_1_100_01.txt , 83, VI_gg_1_100_01_mau.txt , 85, google, 24.87s, 85.63159%
VI_gg_1_100_02.txt , 48, VI_gg_1_100_02_mau.txt , 48, google, 13.70s, 97.65994%
VI_gg_1_300_01.txt , 83, VI_gg_1_300_01_mau.txt , 82, google, 26.13s, 92.13308%
VI_gg_1_300_02.txt , 143, VI_gg_1_300_02_mau.txt , 144, google, 39.87s, 90.96826%
VI_gg_1_500_01.txt , 307, VI_gg_1_500_01_mau.txt , 312, google, 84.83s, 95.1665%
VI_gg_1_500_02.txt , 200, VI_gg_1_500_02_mau.txt , 202, google, 58.27s, 92.83462%
VI_gg_1_50_01.txt , 35, VI_gg_1_50_01_mau.txt , 35, google, 10.57s, 100.0%
VI_gg_1_50_02.txt , 55, VI_gg_1_50_02_mau.txt , 55, google, 18.67s, 87.96354%
Kết quả phụ đề video không có tiếng ồn
=> Tổng số có 71 file đã thực thi 
=> Thời gian thực thi: 0:00:03.053442
