Thực hiện: 23h33 17-02-2023

==== ==== ==== ==== ==== ====
Đầu ra, Số chữ đầu ra, Đầu vào, Số chữ đầu vào, Tác nhân, Số giây của video, Kết quả 
VI_gg_0_300_02.txt , 95, VI_gg_0_300_02_mau.txt , 144, google, 45.00s, 80.42458%
VI_gg_0_500_01.txt , 188, VI_gg_0_500_01_mau.txt , 312, google, 102.77s, 90.12408%
VI_gg_0_500_02.txt , 53, VI_gg_0_500_02_mau.txt , 202, google, 63.83s, 57.90955%
VI_gg_0_50_01.txt , 33, VI_gg_0_50_01_mau.txt , 35, google, 10.77s, 95.87977%
VI_gg_0_50_02.txt , 37, VI_gg_0_50_02_mau.txt , 55, google, 18.57s, 84.18152%
VI_gg_1_1000_01.txt , 648, VI_gg_1_1000_01_mau.txt , 723, google, 180.70s, 96.85757%
VI_gg_1_1000_02.txt , 634, VI_gg_1_1000_02_mau.txt , 664, google, 190.10s, 96.95477%
VI_gg_1_100_01.txt , 48, VI_gg_1_100_01_mau.txt , 85, google, 24.87s, 66.87914%
VI_gg_1_100_02.txt , 22, VI_gg_1_100_02_mau.txt , 48, google, 13.70s, 59.13927%
VI_gg_1_300_01.txt , 77, VI_gg_1_300_01_mau.txt , 82, google, 26.13s, 93.4564%
VI_gg_1_300_02.txt , 110, VI_gg_1_300_02_mau.txt , 144, google, 39.87s, 86.60163%
VI_gg_1_500_01.txt , 294, VI_gg_1_500_01_mau.txt , 312, google, 84.83s, 97.45836%
VI_gg_1_500_02.txt , 165, VI_gg_1_500_02_mau.txt , 202, google, 58.27s, 90.87969%
VI_gg_1_50_01.txt , 20, VI_gg_1_50_01_mau.txt , 35, google, 10.57s, 68.35971%
VI_gg_1_50_02.txt , 46, VI_gg_1_50_02_mau.txt , 55, google, 18.67s, 92.36482%
Kết quả phụ đề video có tiếng ồn không dùng giải thuật giảm tiếng ồn
=> Tổng số có 71 file đã thực thi 
=> Thời gian thực thi: 0:00:02.787212
